genus,species,fangs,toxicity,rating,common name
Calamaria,muelleri,rear-fanged,unclear toxicity,???,Mueller’s Reed Snake
Calamaria,nuchalis,rear-fanged,unclear toxicity,???,Narrow headed Reed Snake
Calamaria,palawanensis,rear-fanged,unclear toxicity,???,Palawan Worm Snake
Calamaria,pavimentata,rear-fanged,unclear toxicity,???,Collared Reed Snake
Calamaria,pfefferi,rear-fanged,unclear toxicity,???,Pfeffer's reed snake
Calamaria,prakkei,rear-fanged,unclear toxicity,???,Prakke’s Reed Snake
Calamaria,rebentischi,rear-fanged,unclear toxicity,???,Rebentisch's Reed Snake
Calamaria,sangi,rear-fanged,unclear toxicity,???,Sang's reed snake
Calamaria,schlegeli,rear-fanged,unclear toxicity,???,White headed Reed Snake
Calamaria,schmidti,rear-fanged,unclear toxicity,???,Schmidt's Reed Snake
Calamaria,septentrionalis,rear-fanged,unclear toxicity,???,Hong Kong Dwarf Snake
Calamaria,suluensis,rear-fanged,unclear toxicity,???,Yellow bellied Reed Snake
Calamaria,sumatrana,rear-fanged,unclear toxicity,???,Sumatra Dwarf Snake
Calamaria,thanhi,rear-fanged,unclear toxicity,???,Thanhs Zwergschlange
Calamaria,ulmeri,rear-fanged,unclear toxicity,???,Ulmer's Reed Snake
Calamaria,virgulata,rear-fanged,unclear toxicity,???,Boie's Dwarf Snake
Calamaria,yunnanensis,rear-fanged,unclear toxicity,???,Yunnan Reed Snake
Calamorhabdium,acuticeps,rear-fanged,unclear toxicity,???,Sulawesi Iridescent Snake
Calamorhabdium,kuekenthali,rear-fanged,unclear toxicity,???,Batjan Iridescent Snake
Collorhabdium,williamsoni,rear-fanged,unclear toxicity,???,Mountain Dwarf Snake
Etheridgeum,pulchrum,rear-fanged,unclear toxicity,???,Sumatra Etheridge Snake
Macrocalamus,chanardi,rear-fanged,unclear toxicity,???,Chanard Mountain Reed Snake
Macrocalamus,gentingensis,rear-fanged,unclear toxicity,???,Genting Highlands Reed Snake
Macrocalamus,jasoni,rear-fanged,unclear toxicity,???,Jason's Mountain Reed Snake
Macrocalamus,lateralis,rear-fanged,unclear toxicity,???,Malayan Mountain Reed Snake
Macrocalamus,schulzi,rear-fanged,unclear toxicity,???,Schulz's Reed Snake
Macrocalamus,tweediei,rear-fanged,unclear toxicity,???,Tweedie's Mountain Reed Snake
Macrocalamus,vogeli,rear-fanged,unclear toxicity,???,Vogel's Reed Snake
Pseudorabdion,albonuchalis,rear-fanged,unclear toxicity,???,White collared Reed Snake
Pseudorabdion,ater,rear-fanged,unclear toxicity,???,Zamboanga Burrowing Snake
Pseudorabdion,collaris,rear-fanged,unclear toxicity,???,Common Collared Snake
Pseudorabdion,eiselti,rear-fanged,unclear toxicity,???,Eiselt's Dwarf Reed Snake
Pseudorabdion,longiceps,rear-fanged,unclear toxicity,???,Dwarf Reed Snake
Pseudorabdion,mcnamarae,rear-fanged,unclear toxicity,???,McNamara's Burrowing Snake
Pseudorabdion,modiglianii,rear-fanged,unclear toxicity,???,Modigliani’s dwarf reed snake
Pseudorabdion,montanum,rear-fanged,unclear toxicity,???,Mountain Burrowing Snake
Pseudorabdion,oxycephalum,rear-fanged,unclear toxicity,???,Günther's Dwarf Reed Snake
Pseudorabdion,sarasinorum,rear-fanged,unclear toxicity,???,Sarasin’s Reed Snake
Pseudorabdion,saravacense,rear-fanged,unclear toxicity,???,Sarawak Dwarf Reed Snake
Pseudorabdion,sirambense,rear-fanged,unclear toxicity,???,Sirambi Dwarf Reed Snake
Pseudorabdion,talonuran,rear-fanged,unclear toxicity,???,Panay Island Reed Snake
Pseudorabdion,taylori,rear-fanged,unclear toxicity,???,Taylor's Burrowing Snake
Pseudorabdion,torquatum,rear-fanged,unclear toxicity,???,Twisted reed snake
Rabdion,forsteni,rear-fanged,unclear toxicity,???,Forsten’s Pointed Snake
Rabdion,grovesi,rear-fanged,unclear toxicity,???,Grove's pointed snake
Aeluroglena,cucullata,rear-fanged,unclear toxicity,???,Somali Snake
Ahaetulla,anomala,rear-fanged,venomous,harmful bite,Variable coloured vine snake
Ahaetulla,dispar,rear-fanged,venomous,harmful bite,Gunther's vine snake
Ahaetulla,fasciolata,rear-fanged,venomous,harmful bite,Speckle headed Vine Snake
Ahaetulla,fronticincta,rear-fanged,venomous,harmful bite,Burmese Vine Snake
Ahaetulla,mycterizans,rear-fanged,venomous,harmful bite,Malayan Green whip snake
Ahaetulla,nasuta,rear-fanged,venomous,harmful bite,Long nosed whip snake
Ahaetulla,perroteti,rear-fanged,venomous,harmful bite,Western Ghats Bronzeback
Ahaetulla,prasina,rear-fanged,venomous,harmful bite,Oriental whip snake
Ahaetulla,pulverulenta,rear-fanged,venomous,harmful bite,Brown speckled whip snake
Aprosdoketophis,andreonei,rear-fanged,unclear toxicity,???,Addur Woodland Snake
Archelaphe,bella,rear-fanged,unclear toxicity,???,Bella Rat Snake
Argyrogena,fasciolata,rear-fanged,unclear toxicity,???,Banded Racer
Argyrogena,vittacaudata,rear-fanged,unclear toxicity,???,Striped tail racer
Arizona,elegans,rear-fanged,unclear toxicity,???,Glossy Snake
Arizona,pacata,rear-fanged,unclear toxicity,???,Santa Domingo glossy snake
Bamanophis,dorri,rear-fanged,unclear toxicity,???,Dorr's Racer
Bogertophis,rosaliae,rear-fanged,unclear toxicity,???,Baja California Rat Snake
Bogertophis,subocularis,rear-fanged,unclear toxicity,???,Trans Pecos Rat Snake
Boiga,andamanensis,rear-fanged,venomous,harmful bite,Andaman cat snake
Boiga,angulata,rear-fanged,venomous,harmful bite,Philippine Blunt headed Tree Snake
Boiga,barnesii,rear-fanged,venomous,harmful bite,Barnes' cat snake
Boiga,beddomei,rear-fanged,venomous,harmful bite,Beddome's cat snake
Boiga,bengkuluensis,rear-fanged,venomous,harmful bite,Bengkulu Cat Snake
Boiga,bourreti,rear-fanged,venomous,harmful bite,Bourret's Cat Snake
Boiga,ceylonensis,rear-fanged,venomous,harmful bite,Sri Lanka Cat Snake
Boiga,cyanea,rear-fanged,venomous,harmful bite,Green Cat Snake
Boiga,cynodon,rear-fanged,venomous,harmful bite,Dog toothed cat snake
Boiga,dendrophila,rear-fanged,venomous,harmful bite,Mangrove snake
Boiga,dightoni,rear-fanged,venomous,harmful bite,Pirmad cat snake
Boiga,drapiezii,rear-fanged,venomous,harmful bite,White spotted cat snake
Boiga,flaviviridis,rear-fanged,venomous,harmful bite,Yellow green cat snake
Boiga,forsteni,rear-fanged,venomous,harmful bite,Forsten's cat snake
Boiga,gokool,rear-fanged,venomous,harmful bite,Arrowback tree snake
Boiga,guangxiensis,rear-fanged,venomous,harmful bite,Guangxi Cat Snake
Boiga,hoeseli,rear-fanged,venomous,harmful bite,Lesser Sundas Cat Snake
Boiga,irregularis,rear-fanged,venomous,dangerous bite,Brown tree snake
Boiga,jaspidea,rear-fanged,venomous,harmful bite,Jasper cat snake
Boiga,kraepelini,rear-fanged,venomous,harmful bite,Kelung Cat Snake
Boiga,multifasciata,rear-fanged,venomous,harmful bite,Many banded tree snake
Boiga,multomaculata,rear-fanged,venomous,harmful bite,Many spotted Cat Snake
Boiga,nigriceps,rear-fanged,venomous,harmful bite,Black headed cat snake
Boiga,nuchalis,rear-fanged,venomous,harmful bite,Collared Cat Snake
Boiga,ochracea,rear-fanged,venomous,harmful bite,Tawny cat snake
Boiga,philippina,rear-fanged,venomous,harmful bite,Tawny Cat Eyed Snake
Boiga,quincunciata,rear-fanged,venomous,harmful bite,Assamese Cat Snake
Boiga,saengsomi,rear-fanged,venomous,harmful bite,Banded Green Cat Snake
Boiga,schultzei,rear-fanged,venomous,harmful bite,Schultz' Blunt headed Tree Snake
Boiga,siamensis,rear-fanged,venomous,harmful bite,Gray Cat Snake
Boiga,tanahjampeana,rear-fanged,venomous,harmful bite,Tanahjampea Cat Snake
Boiga,trigonata,rear-fanged,venomous,harmful bite,Indian gamma snake
Boiga,wallachi,rear-fanged,venomous,harmful bite,Nicobar cat snake
Cemophora,coccinea,rear-fanged,unclear toxicity,???,Scarlet Snake
Cemophora,lineri,rear-fanged,unclear toxicity,???,Texas scarlet snake
Chapinophis,xanthocheilus,rear-fanged,unclear toxicity,???,Guatemalan Yellow lipped Snake
Chilomeniscus,savagei,rear-fanged,unclear toxicity,???,Savage's Sand Snake
Chilomeniscus,stramineus,rear-fanged,unclear toxicity,???,Variable Sand Snake
Chionactis,annulata,rear-fanged,unclear toxicity,???,Colorado Desert Shovelnose Snake
Chionactis,occipitalis,rear-fanged,unclear toxicity,???,Western Shovelnose Snake
Chionactis,palarostris,rear-fanged,unclear toxicity,???,Sonoran Shovelnose Snake
Chironius,bicarinatus,rear-fanged,unclear toxicity,???,Two headed Sipo
Chironius,brazili,rear-fanged,unclear toxicity,???,Brazil's sipo
Chironius,carinatus,rear-fanged,unclear toxicity,???,Sipo
Chironius,challenger,rear-fanged,unclear toxicity,???,Maringma Tepui Sipo
Chironius,diamantina,rear-fanged,unclear toxicity,???,Chapada Diamantina snake
Chironius,exoletus,rear-fanged,unclear toxicity,???,Linnaeus' Sipo
Chironius,flavolineatus,rear-fanged,unclear toxicity,???,Caninana Marrom Listada
Chironius,flavopictus,rear-fanged,unclear toxicity,???,Sipo
